,title,description
82,software a art,engineer artist golan levin push boundary what possible audiovisual technology in an amaze ted display show two program write perform original composition
83,gentle genius bonobo,work bonobo ape which can understand speak language learn task by watch force audience rethink much what specie can do determine by biology much by cultural exposure
84,story life photograph,in stun slideshow celebrate nature photographer frans lanting present life project poetic collection photograph tell story our planet it eruptive beginning it present diversity soundtrack by philip glass
85,shrimp kick,biologist sheila patek talk her work measure feed strike mantis shrimp one fastest movement animal world use video camera record at frame per second
86,global warm theme song manhattan january,a happy song global warm jill sobule
87,cast spell cello,caroline lavelle play cello like sorceress cast spell occasionally hide behind her wild mane blond hair a she sing pastoral theme she perform farther than sun back by thomas dolby keyboard
88,illusion consciousness,philosopher dan dennett make compel argument not only do understand our own consciousness but half time our brain be actively fool u
89,how truly listen,in soar demonstration deaf percussionist evelyn glennie illustrate listen music involve much more than simply let sound wave hit your eardrum
90,cradle cradle design,architect designer william mcdonough ask what our build product would look like if designer take into account all child all specie all time
91,electricity metaphor web future,boom bust often compare gold rush but founder jeff bezos say s more like early day electric industry
92,a mockingbird remix,rive recap most memorable moment rhyme verse fantastical mockingbird lullaby
93,kiteflyer hill,eddi reader perform kiteflyer hill tender look back at lose love with thomas dolby piano
94,what you get,eddi reader perform what you do with what you get meditation very ted theme use your gift talent make difference with thomas dolby piano
95,why would god create tsunami,in day follow tragic south asian tsunami rev tom honey ponder question how could love god have do here answer
96,militant atheism,richard dawkins urge all atheist openly state their position fight incursion church into politics science a fiery funny powerful
97,a comic sendup,satirist tom rielly deliver wicked parody ted conference take down laptop plight polar bear people who mention one too many time they work at harvard watch special moment between tom al gore
98,la vie en rise,feature vocal mischievous accordionist singer rachelle garniez ted house band lead by thomas dolby keyboard deliver delightful rendition edith piaf standard la vie en rise
99,technology long tail,chris anderson then editor wire explore four key stag any viable technology set right price gain market share displace an establish technology finally become ubiquitous
100,cape breton fiddle reel time,violinist natalie macmaster ted musical director thomas dolby play dolby original song blue be river ethereal duet little dance
101,genesis google,google larry page sergey brin offer peek inside google machine share tidbit international search pattern philanthropic google foundation company dedication innovation employee happiness
102,black men ski,what happen when black man visit aspen stew band be let know
103,ghastly tragedy suburb,in jam howard kunstler view public space should be inspire center civic life physical manifestation common good instead argue what have america nation place not worth care
104,design,ideo david kelley say product design have become much le hardware more user experience he show video new broader approach include footage prada store new york
105,what squatter city can teach u,rural village worldwide be be desert a billion people flock city live teem squatter camp slum stewart brand say good thing why it ll take minute find out
106,how brain science will change compute,treo creator jeff hawkins urge u take new look at brain see not a fast processor but a memory system store play back experience help u predict intelligently what will happen next
107,swim giant sunfish,marine biologist tierney thys ask u step into water visit world mola mola or giant ocean sunfish bask eat jellyfish get massage behemoth offer clue life open sea
108,how photosynth can connect world image,blaise aguera y arca lead dazzle demo photosynth software could transform way look at digital image use still photo cull web photosynth build breathtaking dreamscapes let u navigate them
109,salvation profit greentech,i do think go make john doerr say an emotional climate change investment to create world fit daughter live say need invest now clean green energy
110,want help africa do business here,we know negative image africa famine disease conflict corruption but say ngozi there another story happen many african nation one reform economic growth business opportunity
111,rethink desktop bumptop,anand agarawala present bumptop user interface take usual desktop metaphor glorious extreme transform file navigation into freewheel playground crumple document wall
112,we can be buddha,in our hyperlinked world can know anything anytime and mass enlightenment say buddhist scholar bob thurman our first step toward buddha nature
113,a memorial at grind zero,in emotionally charge conversation journalist kurt andersen designer david rockwell discus process build view platform at grind zero shortly after
114,let rethink america military strategy,in bracingly honest international security strategist thomas barnett outline war solution founder military both sensible breathtaking it simplicity break two
115,a string quartet play blue room,string quartet ethel perform third movement phil kline suite blue room other story search melodic line show off deep emotional musicality these passionate player
116,tour microsoft virtual earth,microsoft stephen lawler give whirlwind tour virtual earth move up down through it cityscape dazzlingly fluidity remarkable feat require stagger amount data bring into focus
117,new insight poverty,researcher han rosling use cool data tool show country be pull themselves out poverty he demo dollar street compare household vary income level worldwide then do something really amaze
118,i go moon who me,bill stone maverick cave explorer who have plumb earth s deepest aby discus effort mine lunar ice space fuel build an autonomous robot study jupiter s moon europa
119,dangerous meme,start simple tale an ant philosopher dan dennett unleash devastate salvo idea make powerful case existence meme concept be literally alive
120,potential regenerative medicine,alan russell study regenerative medicine breakthrough way think disease injury use process can signal body rebuild itself
121,web secret story,jonathan harris want make sense emotional world web with deep compassion human condition project troll internet find out what all feel look
122,flip your think aid africa,emily oster stats aid africa an economic perspective reach stun conclusion everything know spread hiv continent wrong
123,spore birth game,in friendly presentation will wright demo newest game spore which promise dazzle user even more than previous masterpiece
124,mystery,poet rive do minute lyrical origami fold history into series coincidence surround most surreal hour morning
125,visualize wonder live cell,medical animator david bolinsky present minute stun animation show bustle life inside cell
126,how get new hip,when allison hunt find out she need new hip canada s national health care system would require her spend nearly year wait list pain she take matter into her own hand
127,africa cheetah versus hippo,ghanaian economist george ayittey unleash torrent control anger toward corrupt leader africa call cheetah generation take back continent
128,aid versus trade,ngozi former finance minister nigeria sum up four day intense discussion aid versus trade close day tedglobal share personal story explain her own commitment cause
129,how i build windmill,when be just year old malawian inventor william kamkwamba build family an windmill spare part work rough plan find library book
130,why invest africa,south african investment banker euvin naidoo explain why invest africa can make great business sense
131,how educate leader liberal art,a liberal art education critical form true leader say university head patrick awuah because build skill an ethical framework broad vision awuah himself leave career at microsoft u find liberal art school africa ashesi university home nation ghana a passionate dream do lead
132,tell story africa,in deeply personal nigerian writer chris abani say what know be who be come story he search heart africa through it poem narrative include own
133,patient capitalism,jacqueline novogratz share story patient capital can bring sustainable job good service dignity world poorest
134,thula mama,south african vusi mahlasela dedicate song thula mama all woman especially grandmother
135,woza,after vusi mahlasela set at tedglobal audience would let him go his encore woza showcase brilliant guitar play multilingual lyric
136,my journey into movie matter,film producer jeff skoll an inconvenient truth talk film company participant production people who inspire him do good
137,luke new prosthetic arm soldier,inventor dean kamen preview prosthetic arm s develop at request u department defense his quiet commitment use technology solve problem while honor human spirit have never be more clear
138,joy lexicography,be beloved paper dictionary doom extinction in infectiously exuberant lead lexicographer erin mckean look at many way today print dictionary poise transformation
139,aid africa no thank,in provocative journalist andrew mwenda ask u reframe african question look beyond medium story poverty civil war helplessness see opportunity create wealth happiness throughout continent
140,my creation new form life,artist theo jansen demonstrate amazingly lifelike kinetic sculpture build plastic tube lemonade bottle his creature be design move even survive their own
141,what our language habit reveal,in an exclusive preview book i stuff think steven pinker look at language express what go our mind word choose communicate much more than realize
142,surprise decline violence,steven pinker chart decline violence biblical time present argue though may seem illogical even obscene give iraq darfur be live most peaceful time our specie existence
143,an iraq war movie soldier,filmmaker deborah scranton talk show clip her documentary war tap which put camera hand soldier fight iraq
144,search humanity root,paleoanthropologist zeresenay alemseged look root humanity ethiopia badlands here talk find oldest skeleton humanoid child africa hold clue our humanity
145,design simplicity,mit medium lab john maeda live at intersection technology art place can get very complicate here talk par down basic
146,way world could end,how might human race end stephen petranek lay out terrible option science behind them will be wipe out by an asteroid how particle collider go wild
147,a flight solar wing,paul maccready aircraft designer environmentalist lifelong lover flight talk long career
148,this saturn,planetary scientist carolyn porco show image cassini voyage saturn focus it largest moon titan freeze enceladus which seem shoot jet ice
149,my magic move,kenichi ebina move body manner appear defy limit impose by human skeleton he combine breakdancing mime use movement be simultaneously precise fluid
150,life at foot,richard branson talk ted chris anderson up down career multibillionaire success multiple experience reveal some very surprise motivation
151,build robot,hod lipson demonstrate few cool little robot which have ability learn understand themselves even
152,illustrate woman,author illustrator maira kalman talk her life work her cover new yorker her book child she a wonderful a wise a deliciously person a she paper
153,anthropology mobile phone,nokia researcher jan chipchase investigation into way interact technology have lead him village uganda inside our pocket he make some unexpected discovery along way
154,clue understand your brain,vilayanur ramachandran tell u what brain damage can reveal connection between celebral tissue mind use three startle delusion a example
155,a commodity exchange ethiopia,economist eleni outline her ambitious vision find first commodity market ethiopia her plan would create wealth minimize risk farmer turn world largest recipient food aid into regional food basket
156,how electroshock therapy change me,surgeon author sherwin nuland discus development electroshock therapy a cure severe depression include own it s move heartfelt relief redemption second chance
157,habit happiness,what happiness can all get some biochemist turn buddhist monk matthieu ricard say can train our mind habit generate true sense serenity fulfillment
158,law choke creativity,lawrence lessig net s most celebrate lawyer cite john philip sousa celestial copyright ascap cartel argument revive our creative culture
159,play dna,paul rothemund write code cause dna arrange itself into star smiley face more sure stunt but also demonstration at smallest scale vast implication future make thing
160,a critical look at geoengineering against climate change,environmental scientist david keith propose cheap effective shock mean address climate change what if inject huge cloud ash into atmosphere deflect sunlight heat
161,use biology rethink energy challenge,juan enriquez challenge our definition bioenergy oil coal gas other hydrocarbon be not chemical but biological product base plant matter thus growable our whole approach fuel argue need change
162,case optimism,we know global warm year do little say director larry brilliant in spite other depress trend optimistic tell u why from skoll world forum oxford uk
163,sticky wonder gecko foot,biologist robert full share video some captivate critter take closer look at spiny leg allow cockroach scuttle across mesh foot let gecko run straight up wall
164,fractal at heart african design,be mathematician i would like stand your roof that ron eglash greet many african family meet while research fractal pattern notice village across continent
165,design destiny,designer philippe starck no pretty slide show spend minute reach very root question why design listen carefully one perfect mantra all u genius or not
166,beauty truth physic,arm sense humor laypeople term nobel winner murray drop some knowledge tedsters particle physic ask question like be elegant equation more likely be right than inelegant one
167,win oil endgame,in energize amory lovins lay out simple plan wean u off oil revitalize economy
168,a performance mathemagic,in lively show mathemagician arthur benjamin race team calculator figure out square solve another massive mental equation guess few birthday how do do he ll tell
169,why be more compassionate,daniel goleman author emotional intelligence ask why be more compassionate more time
170,lose art,lakshmi pratury remember lose art share series note her father write her before die her short but heartfelt may inspire set pen paper too
171,dangerous thing should let your kid do,at ted u gever tulley founder tinker school spell out dangerous thing should let your kid do why little danger good both kid grownup
