,title,description
125,visualize wonder live cell,medical animator david bolinsky present minute stun animation show bustle life inside cell
126,get new hip,allison hunt find need new hip canada national health care system would require spend nearly year wait list pain take matter hand
127,africa cheetah versus hippo,ghanaian economist george ayittey unleash torrent control anger toward corrupt leader africa call cheetah generation take back continent
128,aid versus trade,ngozi former finance minister nigeria sum four day intense discussion aid versus trade close day tedglobal share personal story explain commitment cause
129,build windmill,year old malawian inventor william kamkwamba build family windmill spare part work rough plan find library book
130,invest africa,south african investment banker euvin naidoo explain invest africa make great business sense
131,educate leader liberal art,liberal art education critical form true leader say university head patrick awuah build skill ethical framework broad vision awuah leave career microsoft u find liberal art school africa ashesi university home nation ghana passionate talk dream lead
132,tell story africa,deeply personal talk nigerian writer chris abani say know come story search heart africa poem narrative include
133,patient capitalism,jacqueline novogratz share story patient capital bring sustainable job good service dignity world poorest
134,thula mama,south african vusi mahlasela dedicate song thula mama woman especially grandmother
135,woza,vusi mahlasela set tedglobal audience would let go encore woza showcase brilliant guitar play multilingual lyric
136,journey movie matter,film producer jeff skoll inconvenient truth talk film company participant production people inspire good
137,luke new prosthetic arm soldier,inventor dean kamen preview prosthetic arm develop request u department defense quiet commitment use technology solve problem honor human spirit never clear
138,joy lexicography,beloved paper dictionary doom extinction infectiously exuberant talk lead lexicographer erin mckean look many way today print dictionary poise transformation
139,aid africa thank,provocative talk journalist andrew mwenda ask u reframe african question look beyond medium story poverty civil war helplessness see opportunity create wealth happiness throughout continent
140,creation new form life,artist theo jansen demonstrate amazingly lifelike kinetic sculpture build plastic tube lemonade bottle creature design move even survive
141,language habit reveal,exclusive preview book stuff think steven pinker look language express go mind word choose communicate much realize
142,surprise decline violence,steven pinker chart decline violence biblical time present argue though may seem illogical even obscene give iraq darfur live peaceful time specie existence
143,iraq war movie soldier,filmmaker deborah scranton talk show clip documentary war tap put camera hand soldier fight iraq
144,search humanity root,paleoanthropologist zeresenay alemseged look root humanity ethiopia badlands talk find oldest skeleton humanoid child africa hold clue humanity
145,design simplicity,mit medium lab john maeda live intersection technology art place get complicate talk par basic
146,way world could end,might human race end stephen petranek lay terrible option science behind wipe asteroid particle collider go wild
147,flight solar wing,paul maccready aircraft designer environmentalist lifelong lover flight talk long career
148,saturn,planetary scientist carolyn porco show image cassini voyage saturn focus largest moon titan freeze enceladus seem shoot jet ice
149,magic move,kenichi ebina move body manner appear defy limit impose human skeleton combine breakdancing mime use movement simultaneously precise fluid
150,life foot,richard branson talk ted chris anderson up down career multibillionaire success multiple experience reveal surprise motivation
151,build robot,hod lipson demonstrate cool little robot ability learn understand even
152,illustrate woman,author illustrator maira kalman talk life work cover new yorker book child wonderful wise deliciously person paper
153,anthropology mobile phone,nokia researcher jan chipchase investigation way interact technology lead village uganda inside pocket make unexpected discovery along way
154,clue understand brain,vilayanur ramachandran tell u brain damage reveal connection celebral tissue mind use three startle delusion example
155,commodity exchange ethiopia,economist eleni outline ambitious vision find first commodity market ethiopia plan would create wealth minimize risk farmer turn world largest recipient food aid regional food basket
156,electroshock therapy change,surgeon author sherwin nuland discus development electroshock therapy cure severe depression include move heartfelt talk relief redemption second chance
157,habit happiness,happiness get biochemist turn buddhist monk matthieu ricard say train mind habit generate true sense serenity fulfillment
158,law choke creativity,lawrence lessig net celebrate lawyer cite john philip sousa celestial copyright ascap cartel argument revive creative culture
159,play dna,paul rothemund write code cause dna arrange star smiley face sure stunt also demonstration smallest scale vast implication future make thing
160,critical look geoengineering climate change,environmental scientist david keith propose cheap effective shock mean address climate change inject huge cloud ash atmosphere deflect sunlight heat
161,use biology rethink energy challenge,juan enriquez challenge definition bioenergy oil coal gas hydrocarbon chemical biological product base plant matter thus growable whole approach fuel argue need change
162,case optimism,know global warm year do little say director larry brilliant spite depress trend optimistic tell u skoll world forum oxford uk
163,sticky wonder gecko foot,biologist robert full share video captivate critter take closer look spiny leg allow cockroach scuttle across mesh foot let gecko run straight wall
164,fractal heart african design,mathematician would like stand roof ron eglash greet many african family meet research fractal pattern notice village across continent
165,design destiny,designer philippe starck pretty slide show spend minute reach root question design listen carefully one perfect mantra u genius
166,beauty truth physic,arm sense humor laypeople term nobel winner murray drop knowledge tedsters particle physic ask question like elegant equation likely right inelegant one
167,win oil endgame,energize talk amory lovins lay simple plan wean u oil revitalize economy
168,performance mathemagic,lively show mathemagician arthur benjamin race team calculator figure square solve another massive mental equation guess birthday tell
169,compassionate,daniel goleman author emotional intelligence ask compassionate time
170,lose art,lakshmi pratury remember lose art share series note father write die short heartfelt talk may inspire set pen paper
171,dangerous thing let kid,ted u gever tulley founder tinker school spell dangerous thing let kid little danger good kid grownup
172,tale passion,author activist isabel allende discus woman creativity definition feminism course passion talk
173,worry local warm lap,investor prankster yossi vardi deliver ballsy lecture danger blogging specifically men
174,emergent genius ant colony,deborah gordon study ant colony arizona desert understand complex social system ask chitinous creature get business even multitask need language memory visible leadership answer could lead better understand complex system brain web thank ant
175,mystery box,abrams trace love unseen mystery passion evident film tv show include lose star trek upcoming star war vii back magical beginning
176,underwater astonishment,david gallo show footage amaze sea creature include cuttlefish perfectly camouflage octopus time square worth neon light display fish live blackest depth ocean short talk celebrate pioneer work ocean explorer like edith widder roger hanlon
177,treat design art,paola antonelli design curator new york museum modern art want spread appreciation design shape form around world
178,master architect ask,wildly entertain discussion richard saul wurman architect frank gehry give tedsters take power failure recent build factor
179,tembererana,raúl midón perform answer world premiere follow sprightly tembererana
180,rebuild neighborhood beauty dignity hope,bill strickland tell quiet astonish tale redemption art music unlikely partnership
181,learner,wofford college president bernie dunlap tell story sandor teszler hungarian holocaust survivor teach passionate live lifelong learn
182,music war,new york time tech columnist david pogue perform satirical itunes download war borrow note sonny cher village people
183,unusual glimpse celebrity,make photograph seem show favorite celebs diana elton john really secretly want see alison jackson explore desire get personal celebs contain graphic image
184,ted nonprofit transition,chris anderson give talk prior take leadership ted richard saul wurman leave ted future balance seek persuade tedsters conference secure future nonprofit endeavor
185,idea behind zipcar come next,robin chase found zipcar world biggest business one smaller idea travel much farther contemplate scheme shake drive habit mesh network vast interstate
186,song city,jaime lerner reinvent urban space native curitiba brazil along way change way city planner worldwide see possible metropolitan landscape
187,illustrate journey rome,david macaulay relive wind sometimes surreal journey toward completion rome antic illustrate homage historic city
188,view,human consciousness darwinism pawn corn clever strategy game rule earth author michael pollan ask u see world view
189,new power collaboration,howard rheingold talk come world collaboration participatory medium collective action wikipedia really outgrowth natural human instinct work group
190,untouchable music theremin,virtuoso pamelia kurstin perform discus theremin electronic instrument play without touch song include autumn leave lush life david mash listen word go
191,story project orion,author george dyson spin story project orion massive spacecraft could take u saturn five year insider perspective secret cache document bring atomic age dream life
192,build uniqueness,look back long career architect moshe safdie delve four design project explain labor make one truly unique site user
193,jill julia show,two ted favorite jill sobule julia sweeney team delightful set mix witty songwriting little bite social commentary
194,juggle jest,illustrious juggler raspyni brother show uncanny balance agility coordination willingness sacrifice others stand completely still
195,parable kenya,joseph lekuton member parliament kenya start story remarkable education offer parable africa grow message hope never relevant
196,model rocketry,moneyman steve jurvetson take tedsters inside awesome hobby launch model rocket share gorgeous photo infectious glee whiff danger
197,preview worldwide telescope,educator roy gould researcher curtis wong show sneak preview microsoft worldwide telescope compile image telescope satellite build comprehensive interactive view universe
198,powerful idea idea,intensity brilliance know alan kay envision better technique teach kid use computer illustrate experience way mathematically scientifically computer
199,verge create synthetic life,create new life digital universe craig venter ask answer yes pretty soon walk latest research promise soon able build boot synthetic chromosome note talk give field science develop quickly since read criticism update detail
200,prediction,surprise accuracy nicholas negroponte predict happen web interface service kiosk touchscreen interface iphone one laptop per child project
201,stroke insight,jill bolte taylor get research opportunity brain scientist would wish massive stroke watch brain function motion speech shut one one astonish story
202,day young rebel,legend architect frank gehry take whistlestop tour early work house venice beach american center paris construction much mind give talk
203,wish upon school,accept ted prize author dave egger ask ted community personally creatively engage local public school spellbind eagerness talk valencia tutor center inspire others around world open
204,wish charter compassion,people want religious say scholar karen armstrong help make religion force harmony ask ted community help build charter compassion restore golden rule central global religious doctrine
205,wish find next einstein africa,accept ted prize physicist neil turok speak talented young african starve opportunity unlock nurture continent creative potential create change africa future
206,green agenda architecture,architect norman foster discus work show computer help architect design build green beautiful basically dld conference munich
207,look inside brain real time,neuroscientist inventor christopher decharms demonstrate new way use fmri show brain activity thought emotion pain happen word actually see feel
208,call learn,clifford stoll captivate audience wildly energetic sprinkle anecdote observation aside even science experiment definition scientist something want something else
209,,rokia traore sing move accompany malian string instrument soulful timbre quietly mesmerize performance
210,search true face leonardo,mona lisa one face planet would recognize image leonardo da vinci illustrator siegfried woldhek use thoughtful technique find believe true face leonardo
211,sputnik mania,filmmaker david hoffman share footage documentary sputnik mania show soviet union launch sputnik lead space race arm race science math education around world
212,new kind music video,would music video look like direct music purely expression great song rather drive filmmaker concept designer jakob trollback share result experiment form
213,question universe,keep theme professor stephen hawk ask big question universe universe begin life begin alone discus might go answer
214,new think climate crisis,slideshow premier al gore present evidence pace climate change may even worse scientist recently predict challenge u act
215,free cheap wii remote hack,build sophisticate educational tool cheap part johnny lee demo cool wii remote hack turn video game controller digital whiteboard touchscreen viewer
216,invent instrument unlock new music,tod machover mit medium lab devote extend musical expression everyone virtuoso amateur diverse form opera video game composer dan ellsey shed light next
217,new economics,yochai benkler explain collaborative project like wikipedia linux represent next stage human organization
218,health care,ernest madu run heart institute caribbean kingston jamaica prove careful design smart technical choice true desire serve possible offer healthcare develop world
219,creativity hide,novelist amy tan dig deep creative process look hint evolve
220,make sense string theory,physicist brian greene explain superstring theory idea minscule strand energy vibrate dimension create every particle force universe
221,cern supercollider,physicist brian cox talk work large hadron collider cern discus biggest big science engage accessible way cox bring u along tour massive project
222,wake might giant,set might giant rock play older bee bird moth asbury park fingertip alphabet nation plus take phone call dead
223,think behind,hector ruiz executive chair amd want give internet access everyone talk share extraordinary life story describe amd initiative call connect percent world
224,way mushroom save world,mycologist paul stamets list way mycelium fungus help save universe clean pollute soil make insecticide treat smallpox even flu virus
225,domesticate germ,evolutionary biologist paul ewald drag u sewer discus germ harmful others could make harmful one benign search answer examine disgust fascinate case diarrhea
226,juggle art science,michael moschen put quietly mesmerize show juggle think juggle art might change mind watch moschen motion
227,think experiment intelligence crow,hacker writer joshua klein fascinate crow notice gleam intelligence little black eye long amateur study corvid behavior come elegant think experiment machine could form new bond animal human
228,news distort worldview,alisa miller head public radio international talk though want know world ever medium actually show u le stats graph
229,wrong eat,fiery funny talk new york time food writer mark bittman weigh wrong way eat much meat plant much fast food little home cook put entire planet risk
230,astonish hide world deep ocean,ocean explorer robert ballard take u mindbending trip hide world underwater researcher find unexpected life resource even new mountain make case serious exploration map google ocean anyone
231,design object tell story,designer yves behar dig creative root discus iconic object create leaf lamp jawbone headset turn witty surprise elegant object work include laptop
232,move sculpture,sculptor engineer arthur ganson talk work kinetic art explore deep philosophical idea fun look
233,hospital tour nigeria,seyi oyesola take sear look health care underdevelop country photo tour nigerian teach hospital hack donate supply drive home challenge basic health care
234,bottom billion,around world right one billion people trap poor fail country help economist paul collier lay bold compassionate plan close gap rich poor
235,meme temes,susan blackmore study meme idea replicate brain brain like virus make bold new argument humanity spawn new kind meme teme spread via technology invent way keep alive
236,archeology animal photography bbq,nathan myhrvold talk latest fascination animal photography archeology bbq generally eccentric genius multimillionaire listen wild story somewhat raunchy edge animal world
237,kounandi,rokia traore perform kounandi breathtaking song blend malian instrument modern heartfelt vocal note song available download
238,worldwide web belief ritual,anthropologist wade davis muse worldwide web belief ritual make u human share breathtaking photo story elder brother group sierra nevada indian whose spiritual practice hold world balance
239,ancestor language,speak elegance physic amaze murray give quick overview another passionate interest find common ancestry modern language
240,birth computer,historian george dyson tell story birth modern computer origin hilarious notebook early computer engineer
